# Conformance floors. A run below a floor fails; a run above it says so and
# asks you to raise the floor deliberately, in the commit that earned it.
#
# Raising a floor is a claim that an improvement is real and permanent.
# Lowering one is a decision to accept a regression and must be argued for in
# the commit message.
#
# NO FLOOR FOR the :443 engine behind a TLS bridge: the score through a Python
# threading proxy came back 30, 27, 27, 24, 24 on five consecutive runs of
# identical code. Since the redirect rewrite, :80 and :443 are the same engine
# differing only in H1Io::Plain versus H1Io::Tls, so the plaintext target below
# measures it without a bridge and is stable.
#
# target               floor  total
h1:m6-auth-server      32     32
h1:m6-file             32     32
h1:m6-html             32     32
h1:m6-http-redirect    32     32
h2:m6-http             146    146
h3:m6-http             37     49

# h2 and h3 had NO FLOOR until 2026-09-13, which meant neither had a recorded minimum
# and neither was ever measured by a gate. The pre-push hook was the only thing
# running conformance and it runs on a laptop where h2spec and h3spec are not
# installed, so both were skipped on every run and the script said nothing. The
# Linux gate did not run conformance at all.
#
# h3 is 37/49, not 49/49. That was recorded as twelve requirements that
# "genuinely fail today", with the 1.0 list saying the fix was to bump quiche
# from 0.26.1, since all twelve sit below the layer m6-http works at. The bump
# was done on 2026-09-13, to 0.29.3, three releases newer. THE SCORE DID NOT
# MOVE BY ONE TEST.
#
# 0.29.3 is the newest plain release tag: checked against every tag in
# cloudflare/quiche on 2026-09-13, there is no 0.30 line, and the higher
# numbers in that repo are tokio-quiche, a different crate.
#
# All twelve are worded "MUST send <error>", not "MUST reject". They are
# upstream gaps, three of them tracked upstream as open bugs with open fix
# pull requests. They are NOT deliberate design, and an earlier version of
# this comment said they were. That was wrong.
#
#   8  TRANSPORT_PARAMETER_ERROR, Transport 7.3, 7.4 and 18.2
#      quiche DOES detect these: the edge log shows exactly 8
#      InvalidTransportParam from conn.recv(). On that error quiche calls
#      close() itself (lib.rs:2885), queueing the right code. close() then
#      calls mark_closed() because no packet has been fully processed yet:
#      recv_count increments at the END of recv_single, after frames are
#      parsed, so a bad parameter in the client's first Initial leaves it at 0.
#      send() returns Done on a closed connection, so the close is built
#      correctly and can never go out.
#
#      This is upstream issue #2515, "First-flight transport errors can make
#      pending CONNECTION_CLOSE unsendable", open since 2026-06-22. It names
#      the same mechanism, the same recv_count == 0, and the same expected
#      Initial CONNECTION_CLOSE with TRANSPORT_PARAMETER_ERROR 0x08. PR #2521
#      proposes the fix and is open and unmerged against master. So this is a
#      known defect waiting on upstream, not a choice anyone made.
#
#   2  PROTOCOL_VIOLATION for non-zero reserved bits, Handshake and Short,
#      Transport 17.2. quiche does NOT detect these. There is no reserved-bit
#      validation anywhere in packet.rs, so the packets are simply accepted.
#      Upstream: #2526 "reserved packet bits are accepted" and #2652
#      "Authenticated reserved-bits validation is missing", both open, with PR
#      #2575 "reject QUIC packets with reserved bits set" open and last touched
#      2026-09-10. #2596 covered Initial packets and is closed; h3spec tests
#      Handshake and Short, which are the two still failing.
#
#   2  QPACK_ENCODER_STREAM_ERROR and QPACK_DECODER_STREAM_ERROR, QPACK 4.1.3
#      and 4.4.3. The wire codes are 0x201 and 0x202 and neither appears
#      anywhere in quiche's h3 module: its WireErrorCode stops at 0x10a plus
#      QpackDecompressionFailed at 0x200, and it runs a static table only, so
#      it has no dynamic table capacity to exceed. h3::Error::to_wire() is
#      private, so m6 cannot map an h3 error to a wire code by hand either.
#      No open upstream issue. #90, "h3: don't error on QPACK instruction", is
#      closed and suggests this is settled behaviour rather than a pending fix.
#
# None of the twelve is reachable through quiche's public API, so none is
# fixable in m6. That is the part worth keeping: 37 is the measured ceiling of
# the newest quiche release, not m6 recording its own failure, and a floor
# against a dependency's ceiling is what a minimum-score check is for. It must
# still not fall.
#
# WHAT WOULD MOVE IT, MEASURED. Not a version bump: that was tried. But the two
# open upstream fixes DO clear all ten. Measured on the build host 2026-09-13,
# four h3 runs, each with the linked source confirmed in Cargo.lock:
#
#     quiche 0.29.3 as released                    h3  37/49
#     0.29.3 + cherry-picked #2521 + #2575         h3  47/49
#     quiche master (25 commits on) + both PRs     h3  47/49
#
# THE TWO BASES SCORE THE SAME. Master buys nothing in conformance, so the
# choice between them is about what you would rather carry, not about the
# number. The two that remain are the QPACK pair, which neither PR touches, so
# 47 is the ceiling of this approach either way.
#
# quiche's own suite passes on both: 1050 tests on the tag variant, 1123 on
# master, zero failures, including the assertions the PRs add
# (missing_initial_source_connection_id now requires send() to emit the close,
# plus the two reserved-bit mask tests).
#
# Off the TAG, cherry-pick in this order. All three apply with no conflict, and
# note #2575 is TWO commits: the second will not apply without the first.
#
#     adb565187e47f05dd14fa4ef572290f282c78092   PR #2521, first-flight closes
#     6586499                                    PR #2575 (1/2), reject reserved bits
#     25bcd4e                                    PR #2575 (2/2), extract + tests
#
# Off MASTER, merge both PR refs. #2521 no longer applies cleanly: master has
# moved past its base and reworded the very line it changes. One conflict, in
# the recv_count == 0 early close, and the resolution is master's comment with
# the PR's condition:
#
#     // Close immediately if no peer packet was authenticated.
#     if self.recv_count == 0 && !self.received_authenticated_packet {
#
# Master is still version 0.29.3 with MSRV 1.88, so it needs no workspace change.
#
# THIS IS NOT ADOPTED, and adopting it is a decision, not a task. Both PRs are
# unmerged and both come from third-party forks (snvtac/quiche and
# Soundcreates/quiche), not from Cloudflare, so either base means unreviewed
# community changes in the QUIC transport path of a production edge. #2575's own
# commit message records that the ideal test, crafting a real packet with the
# AEAD-protected reserved bit set, was NOT written because it is a heavy lift,
# and that it pins the bit masks instead. Taking either means pinning a fork
# rather than a tag, which cuts against the reason Phase 7 chose a tag over
# crates.io: not owning someone else's release surface. Master additionally puts
# 25 unreleased commits in the transport path for no measured gain.
#
# The cheap alternative is to wait: watch #2521 and #2575, and re-measure when a
# release carries them. Say here which release moved the ceiling, when one does.
